symbol,analysis_date,current_price,price_timestamp_utc,calculation_status,warning,mt_support_1,mt_support_1_distance_pct,mt_support_1_touch_count,mt_support_1_strength_score,mt_support_1_timeframes,mt_support_1_last_touch_utc,mt_support_2,mt_support_2_distance_pct,mt_support_2_touch_count,mt_support_2_strength_score,mt_support_2_timeframes,mt_support_2_last_touch_utc,mt_support_3,mt_support_3_distance_pct,mt_support_3_touch_count,mt_support_3_strength_score,mt_support_3_timeframes,mt_support_3_last_touch_utc,mt_resistance_1,mt_resistance_1_distance_pct,mt_resistance_1_touch_count,mt_resistance_1_strength_score,mt_resistance_1_timeframes,mt_resistance_1_last_touch_utc,mt_resistance_2,mt_resistance_2_distance_pct,mt_resistance_2_touch_count,mt_resistance_2_strength_score,mt_resistance_2_timeframes,mt_resistance_2_last_touch_utc,mt_resistance_3,mt_resistance_3_distance_pct,mt_resistance_3_touch_count,mt_resistance_3_strength_score,mt_resistance_3_timeframes,mt_resistance_3_last_touch_utc,daily_reference_date,daily_pivot,daily_s1,daily_s2,daily_s3,daily_r1,daily_r2,daily_r3,weekly_reference_period_end,weekly_pivot,weekly_s1,weekly_s2,weekly_s3,weekly_r1,weekly_r2,weekly_r3
AAOI,2026-09-01,103.39,2026-09-01 00:00:00+00:00,complete,,102.3888039620209,-0.009683683508841301,9,7.289710251160604,1h|1d,2026-09-01 14:00:00+00:00,90.97227450945701,-0.12010567260414928,5,3.162320583333692,1h|1d,2026-08-03 13:00:00+00:00,83.24597039788522,-0.19483537674934504,2,1.006680383224856,1h|1d,2026-07-28 14:00:00+00:00,108.96415838747117,0.053913902577339856,12,7.0023907468964985,1h|1d,2026-08-31 19:00:00+00:00,113.58783512073059,0.09863463701257946,5,3.0906325890692314,1h,2026-08-26 13:00:00+00:00,119.73919757273043,0.1581313238488291,10,6.35355752265605,1h|1d,2026-08-27 13:00:00+00:00,2026-09-01,103.43,101.30000000000001,99.21000000000001,97.08000000000001,105.52000000000001,107.65,109.74000000000001,2026-08-28,107.80333333333334,100.52666666666669,94.82333333333334,87.54666666666668,113.50666666666669,120.78333333333335,126.4866666666667
AAPL,2026-09-01,325.25,2026-09-01 00:00:00+00:00,complete,,322.5223758745699,-0.008386238663889656,4,1.9759062807311758,1h,2026-08-28 16:00:00+00:00,319.8007128998065,-0.01675414942411524,6,5.585287054774614,1h|1d,2026-08-20 13:00:00+00:00,316.94043907591293,-0.02554822728389572,6,5.8483470436454885,1h|1d|1w,2026-08-06 13:00:00+00:00,326.8658972883278,0.004968169987172422,3,1.7176631681516572,1h,2026-09-01 15:00:00+00:00,329.37551192823645,0.012684125836238014,5,1.948984435918022,1h,2026-07-30 14:00:00+00:00,331.85,0.02029208301306684,1,0.40612619817811774,1h,2026-07-24 19:00:00+00:00,2026-09-01,322.4266666666667,317.55333333333334,309.8566666666667,304.98333333333335,330.12333333333333,334.99666666666667,342.6933333333333,2026-08-28,316.76,311.15,302.59999999999997,296.98999999999995,325.31,330.92,339.47
AMD,2026-09-01,459.735,2026-09-01 00:00:00+00:00,complete,,453.25450426445684,-0.01409615481863069,7,5.351977584252002,1h|1d,2026-09-01 14:00:00+00:00,437.8158026353705,-0.0476778956673507,4,3.832459320183864,1h|1d|1w,2026-07-28 14:00:00+00:00,424.0316,-0.07766082634561211,3,4.647296626047576,1h|1d|1w,2026-07-31 00:00:00+00:00,463.0093806052932,0.007122321783838981,10,8.199521876908989,1h|1d,2026-08-31 16:00:00+00:00,474.16795503761296,0.031394074929280924,15,9.609374850077849,1h|1d,2026-08-31 18:00:00+00:00,483.77186555642277,0.05228417578914546,5,3.053846281420403,1h,2026-08-19 13:00:00+00:00,2026-09-01,457.80166666666673,454.30333333333346,448.8716666666667,445.37333333333345,463.23333333333346,466.73166666666674,472.16333333333347,2026-08-28,469.23333333333335,447.3466666666667,429.11333333333334,407.2266666666667,487.4666666666667,509.35333333333335,527.5866666666667
AMZN,2026-09-01,254.88,2026-09-01 00:00:00+00:00,complete,,252.72638648478906,-0.00844951944134864,7,2.5668063872605487,1h|1d,2026-09-01 14:00:00+00:00,249.18497058136842,-0.022343963506872178,11,5.479293462762657,1h|1d|1w,2026-07-13 18:00:00+00:00,245.48032404620696,-0.03687882907169271,15,4.286768123309113,1h|1d,2026-07-22 19:00:00+00:00,257.09689286913806,0.008697790603962918,18,13.328571757794231,1h|1d|1w,2026-08-27 18:00:00+00:00,261.07975666351166,0.02432421792024342,4,3.4418957137466832,1h,2026-08-31 14:00:00+00:00,263.6082923026463,0.03424471242406746,2,1.6819050570936436,1h,2026-08-25 13:00:00+00:00,2026-09-01,254.21666666666667,252.66333333333333,250.44666666666666,248.89333333333332,256.43333333333334,257.9866666666667,260.2033333333334,2026-08-28,263.92333333333335,260.2866666666667,254.14333333333332,250.50666666666666,270.0666666666667,273.7033333333334,279.84666666666675
APP,2026-09-01,311.56,2026-09-01 00:00:00+00:00,complete,,306.1560562243798,-0.017344793219990273,11,8.811670992106825,1h|1d|1w,2026-08-31 15:00:00+00:00,297.9113675040284,-0.04380739663619071,4,4.318541401374766,1h|1d,2026-08-24 17:00:00+00:00,234.56,-0.24714340736936702,1,0.38082094218910306,1w,2025-03-14 00:00:00+00:00,317.29092020773237,0.018394274642869357,9,6.81433503315216,1h|1w,2026-09-01 14:00:00+00:00,325.77776877865443,0.04563412754735663,3,3.148658172853673,1h|1d,2026-08-17 13:00:00+00:00,334.0246892147179,0.07210389400025008,3,2.008547468252843,1h,2026-08-28 14:00:00+00:00,2026-09-01,311.875,305.14,298.71999999999997,291.98499999999996,318.295,325.03000000000003,331.45000000000005,2026-08-28,316.9033,298.3567,278.9534,260.4068,336.3066,354.8532,374.2565
AXTI,2026-09-01,56.11,2026-09-01 00:00:00+00:00,complete,,53.91654705945149,-0.03909201462392642,5,3.300118782573482,1h|1d,2026-09-01 14:00:00+00:00,50.82271209460962,-0.09423075931902292,4,1.5322769104049765,1h,2026-07-27 13:00:00+00:00,47.56167443969007,-0.15234941294439364,6,2.360714334580606,1h|1d,2026-07-27 19:00:00+00:00,58.19661963991731,0.03718801710777586,11,5.820653436346433,1h|1d,2026-08-28 19:00:00+00:00,63.507233645275804,0.13183449733159525,13,6.89941192054247,1h|1d,2026-08-31 14:00:00+00:00,68.33927220025001,0.21795174122705419,9,3.7949932494397416,1h,2026-08-21 16:00:00+00:00,2026-09-01,56.326666666666675,54.58333333333335,53.05666666666667,51.31333333333335,57.85333333333335,59.59666666666668,61.123333333333356,2026-08-28,62.803333333333335,54.32666666666667,50.02333333333333,41.54666666666667,67.10666666666667,75.58333333333334,79.88666666666667
CBRS,2026-09-01,172.62,2026-09-01 00:00:00+00:00,complete,,171.4447344078496,-0.00680839759095353,9,6.002577437182718,1h|1d,2026-09-01 14:00:00+00:00,161.62452302510277,-0.06369758414376803,7,8.193881605576035,1h|1d|1w,2026-07-17 15:00:00+00:00,,,,,,,179.20352832993774,0.03813885024874142,6,4.288991190286821,1h,2026-08-28 16:00:00+00:00,186.2989545943145,0.07924316182548075,10,6.0961580826253,1h,2026-08-31 19:00:00+00:00,195.83797732020213,0.13450340238791636,9,5.950554414545748,1h|1d|1w,2026-08-21 14:00:00+00:00,2026-09-01,175.4958,168.6616,164.70319999999998,157.86899999999997,179.45420000000001,186.28840000000002,190.24680000000004,2026-08-28,182.82336666666666,173.14673333333332,167.21346666666665,157.5368333333333,188.75663333333333,198.43326666666667,204.36653333333334
COHR,2026-09-01,271.95,2026-09-01 00:00:00+00:00,complete,,263.2423172413101,-0.032019425477808006,3,3.7117311243151114,1h|1d,2026-09-01 14:00:00+00:00,255.42015150794597,-0.06078267509488511,3,2.1841171415669005,1h|1d,2026-07-27 14:00:00+00:00,246.06590366560943,-0.09517961512921702,6,2.7135428138556126,1h|1d,2026-08-03 13:00:00+00:00,279.93172680649076,0.02934997906413228,11,6.269226587588383,1h|1d,2026-08-31 19:00:00+00:00,290.8475246866942,0.06948896740832589,5,5.0101305419163555,1h|1d|1w,2026-08-25 13:00:00+00:00,304.25093789642375,0.11877528184013153,14,8.683016065825765,1h|1d|1w,2026-08-27 13:00:00+00:00,2026-09-01,270.8966666666667,265.9133333333334,259.8766666666667,254.89333333333343,276.9333333333334,281.9166666666667,287.9533333333334,2026-08-28,278.8933333333334,262.92666666666673,246.65333333333336,230.68666666666672,295.16666666666674,311.1333333333334,327.40666666666675
CRWD,2026-09-01,215.07,2026-09-01 00:00:00+00:00,complete,,209.47298613157145,-0.02602414966489308,6,3.883627221335946,1h|1d,2026-08-28 14:00:00+00:00,204.47559026936412,-0.04926028609585653,2,0.8782894675405365,1h,2026-08-06 19:00:00+00:00,200.8968654914486,-0.06590010000721336,8,3.123176018298007,1h,2026-08-19 19:00:00+00:00,216.6862626572781,0.0075150539697683705,14,11.071058146018466,1h|1d|1w,2026-08-18 19:00:00+00:00,226.78529717495167,0.0544720192260737,7,6.856193590886702,1h|1d,2026-08-27 17:00:00+00:00,231.13,0.07467336216115683,1,0.9771599684342459,1h,2026-08-31 19:00:00+00:00,2026-09-01,219.67286666666666,208.04713333333333,201.02426666666668,189.39853333333335,226.69573333333332,238.32146666666665,245.3443333333333,2026-08-28,209.44333333333336,190.19666666666672,161.99333333333337,142.74666666666673,237.6466666666667,256.8933333333333,285.0966666666667
CRWV,2026-09-01,81.76,2026-09-01 00:00:00+00:00,complete,,81.51403820448084,-0.003008338986291159,5,2.892506468458514,1h,2026-09-01 14:00:00+00:00,78.87974422887102,-0.035228177239835956,6,3.312348343150174,1h|1d,2026-07-31 13:00:00+00:00,75.87,-0.0720401174168297,1,0.4665164957684037,1h,2026-07-30 16:00:00+00:00,84.81091806449747,0.03731553405696508,15,8.484755831368274,1h|1d|1w,2026-08-31 19:00:00+00:00,87.678535499255,0.07238913281867654,15,8.1841048965964,1h|1d,2026-08-27 13:00:00+00:00,90.85697786584694,0.11126440638266799,14,9.914521096522963,1h|1d|1w,2026-08-27 13:00:00+00:00,2026-09-01,81.65333333333332,80.51666666666664,79.27333333333331,78.13666666666663,82.89666666666665,84.03333333333333,85.27666666666666,2026-08-28,85.88333333333334,81.51666666666668,78.80333333333334,74.43666666666668,88.59666666666668,92.96333333333334,95.67666666666668
FN,2026-09-01,402.07,2026-09-01 00:00:00+00:00,complete,,383.5142229567684,-0.04615061318484748,2,0.3070541678723375,1d,2025-10-22 00:00:00+00:00,371.580986698491,-0.07583011242198867,3,1.4421059281170736,1d|1w,2025-11-21 00:00:00+00:00,353.8262581934638,-0.11998841447145081,3,0.4394564262906233,1d,2025-10-07 00:00:00+00:00,403.11024038364997,0.0025872121363195166,7,7.576987083587281,1h|1d|1w,2026-09-01 16:00:00+00:00,414.10111516326697,0.029922936710689685,6,4.90311685953362,1h|1d|1w,2026-08-31 18:00:00+00:00,430.83557291375473,0.07154369366964652,16,10.244587618206697,1h|1d|1w,2026-08-27 15:00:00+00:00,2026-09-01,406.53999999999996,395.87999999999994,389.69,379.03,412.7299999999999,423.38999999999993,429.57999999999987,2026-08-28,421.9066666666667,405.02333333333337,395.68666666666667,378.80333333333334,431.2433333333334,448.1266666666667,457.4633333333334
GH,2026-09-01,164.405,2026-09-01 00:00:00+00:00,complete,,163.6886967987972,-0.00435694292267752,19,12.768635032423342,1h|1d,2026-08-28 19:00:00+00:00,159.5181235704196,-0.029724621693868247,4,2.080412948544268,1h,2026-08-19 14:00:00+00:00,156.28561964827725,-0.04938645632263472,14,8.91035502381052,1h|1d,2026-08-31 19:00:00+00:00,167.71930215110314,0.020159375633971743,9,5.627858074233962,1h,2026-08-26 13:00:00+00:00,172.697071631221,0.05043685794970343,13,13.847159692957963,1h|1d|1w,2026-08-27 17:00:00+00:00,176.53625358622858,0.07378883602219255,3,4.692749122553406,1h|1d|1w,2026-07-31 13:00:00+00:00,2026-09-01,162.15166666666667,158.84333333333333,153.28166666666667,149.97333333333333,167.71333333333334,171.02166666666668,176.58333333333334,2026-08-28,164.96663333333333,156.76336666666666,152.0267333333333,143.82346666666663,169.70326666666668,177.90653333333336,182.6431666666667
